product_id,default_code,reference,source_filename,source_jpeg_path,shop_tile_status,shop_tile_recipe_version,shop_tile_source_run,shop_tile_moa_note,audit_source_png,audit_class,audit_reason,audit_opaque_ratio,audit_corner_luminance,audit_corner_uniformity,audit_periphery_entropy,audit_background_seed_rgb
7,,Maniocookies salés La Platine,01_product-7_maniocookies-sales-la-platine.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/01_product-7_maniocookies-sales-la-platine.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120018Z/01_product-7_maniocookies-sales-la-platine.png,packshot_alpha,flood-fill opaque 25% · luminance coins 255 · entropie 0.00,0.2461,255.0,0.0,0.0,#FFFFFF
8,,Crackers manioc Sainte-Anne,02_product-8_crackers-manioc-sainte-anne.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/02_product-8_crackers-manioc-sainte-anne.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120020Z/02_product-8_crackers-manioc-sainte-anne.png,needs_review,opaque 61% entre 55–65 % · entropie 0.23,0.6088,235.7,150.28,0.2311,#FFFFFF
9,,Pâtes de manioc Mayotte,03_product-9_pates-de-manioc-mayotte.png,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_manioc_sources/output/jpeg/03_product-9_pates-de-manioc-mayotte_source_distincte.jpg,validated,ck_shop_tile_v1.1,pilote_20260520_lot_manioc_sources,Manioc source distincte MOA,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120022Z/03_product-9_pates-de-manioc-mayotte.png,lifestyle,opaque 87% > 65 % (lifestyle) · luminance 78 < 180,0.8658,78.2,184.19,0.1138,#787876
153,,Confiture banane flambée,04_product-153_confiture-banane-flambee.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/04_product-153_confiture-banane-flambee.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Produit lisible mais petit dans une scène lifestyle ; acceptable en tuile avec réserve de poids visuel.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120023Z/04_product-153_confiture-banane-flambee.png,lifestyle,opaque 99% > 65 % (lifestyle) · luminance 96 < 180,0.9872,95.6,210.32,0.0963,#554B41
154,,Colombo des Antilles (épices),05_product-154_colombo-des-antilles-epices.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/05_product-154_colombo-des-antilles-epices.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Pochette identifiable ; léger effet composition/couture mais rendu exploitable.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120027Z/05_product-154_colombo-des-antilles-epices.png,lifestyle,opaque 80% > 65 % (lifestyle),0.8011,214.1,37.96,0.2665,#DAD6DB
155,,Shrub agrumes créole,06_product-155_shrub-agrumes-creole.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/06_product-155_shrub-agrumes-creole.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120031Z/06_product-155_shrub-agrumes-creole.png,packshot_alpha,flood-fill opaque 26% · luminance coins 250 · entropie 0.00,0.2585,249.8,4.12,0.0031,#FAFAFA
156,,Biscuits coco vanille,07_product-156_biscuits-coco-vanille.jpg,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_m_corrige/output/jpeg/07_product-156_biscuits-coco-vanille_corrige.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_m_corrige,Lot M corrigé MOA,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120036Z/07_product-156_biscuits-coco-vanille.jpg,lifestyle,luminance 166 < 180,0.415,166.0,281.77,0.1668,#E4D8C7
158,,Sauce piment cadji,09_product-158_sauce-piment-cadji.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/09_product-158_sauce-piment-cadji.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Bouteille claire et vendeuse ; réserve légère sur scène très présente.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120042Z/09_product-158_sauce-piment-cadji.png,lifestyle,opaque 74% > 65 % (lifestyle) · luminance 147 < 180,0.7422,147.2,267.41,0.0824,#CDCDCA
159,,Rougail épices Réunion,10_product-159_rougail-epices-reunion.jpg,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_m_corrige/output/jpeg/10_product-159_rougail-epices-reunion_corrige.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_m_corrige,Lot M corrigé MOA,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120047Z/10_product-159_rougail-epices-reunion.jpg,lifestyle,opaque 99% > 65 % (lifestyle) · luminance 170 < 180,0.9904,169.9,219.06,0.0695,#B2A199
160,,Chutney mangue verte,11_product-160_chutney-mangue-verte.jpg,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_m_corrige/output/jpeg/11_product-160_chutney-mangue-verte_corrige.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_m_corrige,Lot M corrigé MOA,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120050Z/11_product-160_chutney-mangue-verte.jpg,lifestyle,opaque 92% > 65 % (lifestyle),0.9199,202.4,135.51,0.03,#E5E2D9
