ordre,product_id,default_code,reference,origin,lot_catalogue,profile,source_type,lot_pilote,notes,website_url
1,7,,Maniocookies salés La Platine,Guadeloupe,noyau_27,packshot,export_bo,pilote_50,,/shop/maniocookies-sales-la-platine-7
2,8,,Crackers manioc Sainte-Anne,Martinique,noyau_27,packshot,export_bo,pilote_50,,/shop/crackers-manioc-sainte-anne-8
3,9,,Pâtes de manioc Mayotte,Guadeloupe,noyau_27,packshot,export_bo,pilote_50,,/shop/pates-de-manioc-mayotte-9
4,153,,Confiture banane flambée,Guadeloupe,noyau_27,packshot,export_bo,pilote_50,,/shop/confiture-banane-flambee-153
5,154,,Colombo des Antilles (épices),Martinique,noyau_27,packshot,export_bo,pilote_50,,/shop/colombo-des-antilles-epices-154
6,155,,Shrub agrumes créole,Martinique,noyau_27,packshot,export_bo,pilote_50,,/shop/shrub-agrumes-creole-155
7,156,,Biscuits coco vanille,Guadeloupe,noyau_27,packshot,export_bo,pilote_50,,/shop/biscuits-coco-vanille-156
8,157,,Sirop de canne vanille,Martinique,noyau_27,packshot,export_bo,pilote_50,,/shop/sirop-de-canne-vanille-157
9,158,,Sauce piment cadji,La Réunion,noyau_27,packshot,export_bo,pilote_50,,/shop/sauce-piment-cadji-158
10,159,,Rougail épices Réunion,La Réunion,noyau_27,packshot,export_bo,pilote_50,,/shop/rougail-epices-reunion-159
11,160,,Chutney mangue verte,Guadeloupe,noyau_27,packshot,export_bo,pilote_50,,/shop/chutney-mangue-verte-160
12,161,,Café arabica Antilles,Martinique,noyau_27,packshot,export_bo,pilote_50,,/shop/cafe-arabica-antilles-161
13,162,,Infusion vétiver citronnelle,Guadeloupe,noyau_27,packshot,export_bo,pilote_50,,/shop/infusion-vetiver-citronnelle-162
14,163,,Mix beignets manioc,Martinique,noyau_27,packshot,export_bo,pilote_50,,/shop/mix-beignets-manioc-163
15,164,,Miel créole baie rose,La Réunion,noyau_27,packshot,export_bo,pilote_50,,/shop/miel-creole-baie-rose-164
16,177,,Coffret gourmand îles créoles,La Réunion,noyau_27,packshot,export_bo,pilote_50,,/shop/coffret-gourmand-iles-creoles-177
17,178,,Palets manioc croustillants La Platine,Guadeloupe,noyau_27,packshot,export_bo,pilote_50,,/shop/palets-manioc-croustillants-la-platine-178
18,179,,Mélange épices caraïbes,Martinique,noyau_27,packshot,export_bo,pilote_50,,/shop/melange-epices-caraibes-179
19,180,,Tartinade coco citron vert,Guadeloupe,noyau_27,packshot,export_bo,pilote_50,,/shop/tartinade-coco-citron-vert-180
20,181,,Assortiment apéritif créole,Martinique,noyau_27,packshot,export_bo,pilote_50,,/shop/assortiment-aperitif-creole-181
21,182,,Confiture ananas vanille,La Réunion,noyau_27,packshot,export_bo,pilote_50,,/shop/confiture-ananas-vanille-182
22,183,,Chips banane plantain salées,Guadeloupe,noyau_27,packshot,export_bo,pilote_50,,/shop/chips-banane-plantain-salees-183
