product_id,default_code,reference,source_filename,source_jpeg_path,shop_tile_status,shop_tile_recipe_version,shop_tile_source_run,shop_tile_moa_note
7,,Maniocookies salés La Platine,01_product-7_maniocookies-sales-la-platine.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/01_product-7_maniocookies-sales-la-platine.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
8,,Crackers manioc Sainte-Anne,02_product-8_crackers-manioc-sainte-anne.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/02_product-8_crackers-manioc-sainte-anne.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
9,,Pâtes de manioc Mayotte,03_product-9_pates-de-manioc-mayotte.png,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_manioc_sources/output/jpeg/03_product-9_pates-de-manioc-mayotte_source_distincte.jpg,validated,ck_shop_tile_v1.1,pilote_20260520_lot_manioc_sources,Manioc source distincte MOA
153,,Confiture banane flambée,04_product-153_confiture-banane-flambee.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/04_product-153_confiture-banane-flambee.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Produit lisible mais petit dans une scène lifestyle ; acceptable en tuile avec réserve de poids visuel.
154,,Colombo des Antilles (épices),05_product-154_colombo-des-antilles-epices.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/05_product-154_colombo-des-antilles-epices.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Pochette identifiable ; léger effet composition/couture mais rendu exploitable.
155,,Shrub agrumes créole,06_product-155_shrub-agrumes-creole.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/06_product-155_shrub-agrumes-creole.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
156,,Biscuits coco vanille,07_product-156_biscuits-coco-vanille.jpg,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_m_corrige/output/jpeg/07_product-156_biscuits-coco-vanille_corrige.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_m_corrige,Lot M corrigé MOA
158,,Sauce piment cadji,09_product-158_sauce-piment-cadji.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/09_product-158_sauce-piment-cadji.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Bouteille claire et vendeuse ; réserve légère sur scène très présente.
159,,Rougail épices Réunion,10_product-159_rougail-epices-reunion.jpg,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_m_corrige/output/jpeg/10_product-159_rougail-epices-reunion_corrige.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_m_corrige,Lot M corrigé MOA
160,,Chutney mangue verte,11_product-160_chutney-mangue-verte.jpg,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_m_corrige/output/jpeg/11_product-160_chutney-mangue-verte_corrige.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_m_corrige,Lot M corrigé MOA
163,,Mix beignets manioc,14_product-163_mix-beignets-manioc.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/14_product-163_mix-beignets-manioc.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
164,,Miel créole baie rose,15_product-164_miel-creole-baie-rose.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/15_product-164_miel-creole-baie-rose.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Pot identifiable dans une scène chaude ; étiquette peu lisible mais rendu exploitable.
177,,Coffret gourmand îles créoles,16_product-177_coffret-gourmand-iles-creoles.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/16_product-177_coffret-gourmand-iles-creoles.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,Coffret lisible; poids visuel équilibré; rendu premium acceptable.
178,,Palets manioc croustillants La Platine,17_product-178_palets-manioc-croustillants-la-platine.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/17_product-178_palets-manioc-croustillants-la-platine.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,Sachet lisible et correctement isolé ; fond baked-in cohérent.
179,,Mélange épices caraïbes,18_product-179_melange-epices-caraibes.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/18_product-179_melange-epices-caraibes.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Ambiance attractive ; réserve sur identification exacte du produit.
180,,Tartinade coco citron vert,19_product-180_tartinade-coco-citron-vert.png,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_m_corrige/output/jpeg/19_product-180_tartinade-coco-citron-vert_corrige.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_m_corrige,Lot M corrigé MOA
181,,Assortiment apéritif créole,20_product-181_assortiment-aperitif-creole.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/20_product-181_assortiment-aperitif-creole.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Assortiment lisible et cohérent ; réserve sur densité de scène.
183,,Chips banane plantain salées,22_product-183_chips-banane-plantain-salees.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/22_product-183_chips-banane-plantain-salees.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
184,,Semoule manioc fine Mayotte,23_product-184_semoule-manioc-fine-mayotte.png,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_manioc_sources/output/jpeg/23_product-184_semoule-manioc-fine-mayotte_source_distincte.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_manioc_sources,Manioc source distincte — OK avec réserve MOA
185,,Confiture fruits de la passion,24_product-185_confiture-fruits-de-la-passion.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/24_product-185_confiture-fruits-de-la-passion.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Pot identifiable mais petit dans la scène ; acceptable avec réserve de lisibilité mobile.
186,,Trio sirops des Antilles,25_product-186_trio-sirops-des-antilles.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/25_product-186_trio-sirops-des-antilles.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Trio cohérent et chaleureux ; réserve sur lisibilité des étiquettes.
187,,Marinade jerk authentique,26_product-187_marinade-jerk-authentique.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/26_product-187_marinade-jerk-authentique.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
188,,Coffret biscuits et douceurs,27_product-188_coffret-biscuits-et-douceurs.jpg,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_m_corrige/output/jpeg/27_product-188_coffret-biscuits-et-douceurs_corrige.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_m_corrige,Lot M corrigé MOA
,CK-MO-028,Sauce scotch bonnet créole,28_ck-mo-028_sauce-scotch-bonnet-creole.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/28_ck-mo-028_sauce-scotch-bonnet-creole.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Bouteille lisible et vendeuse ; réserve légère sur scène très présente.
,CK-MO-029,Confiture goyave rose,29_ck-mo-029_confiture-goyave-rose.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/29_ck-mo-029_confiture-goyave-rose.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Pot identifiable mais petit ; acceptable avec réserve de poids visuel.
,CK-MO-030,Pochette curry des Antilles,30_ck-mo-030_pochette-curry-des-antilles.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/30_ck-mo-030_pochette-curry-des-antilles.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Pochette produit claire ; légère réserve sur intégration fond/carte.
,CK-MO-031,Marinade jerk citron vert,31_ck-mo-031_marinade-jerk-citron-vert.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/31_ck-mo-031_marinade-jerk-citron-vert.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-032,Biscuits banane confiture,32_ck-mo-032_biscuits-banane-confiture.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/32_ck-mo-032_biscuits-banane-confiture.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-033,Palettes coco vanille,33_ck-mo-033_palettes-coco-vanille.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/33_ck-mo-033_palettes-coco-vanille.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-034,Chips patate douce créole,34_ck-mo-034_chips-patate-douce-creole.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/34_ck-mo-034_chips-patate-douce-creole.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-035,Crackers sarrasin Réunion,35_ck-mo-035_crackers-sarrasin-reunion.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/35_ck-mo-035_crackers-sarrasin-reunion.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,Sachet bien isolé; lisible; rendu propre pour tuile commerce.
,CK-MO-036,Sauce chien antillaise,36_ck-mo-036_sauce-chien-antillaise.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/36_ck-mo-036_sauce-chien-antillaise.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-037,Tapenade agrumes confits,37_ck-mo-037_tapenade-agrumes-confits.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/37_ck-mo-037_tapenade-agrumes-confits.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-038,Confiture christophine gingembre,38_ck-mo-038_confiture-christophine-gingembre.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/38_ck-mo-038_confiture-christophine-gingembre.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-039,Confiture papaye muscovado,39_ck-mo-039_confiture-papaye-muscovado.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/39_ck-mo-039_confiture-papaye-muscovado.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-040,Quatre épices créoles,40_ck-mo-040_quatre-epices-creoles.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/40_ck-mo-040_quatre-epices-creoles.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-041,Poudre colombo créole,41_ck-mo-041_poudre-colombo-creole.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/41_ck-mo-041_poudre-colombo-creole.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-042,Bouillon légumes des îles,42_ck-mo-042_bouillon-legumes-des-iles.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/42_ck-mo-042_bouillon-legumes-des-iles.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-043,Rougail tomate créole,43_ck-mo-043_rougail-tomate-creole.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/43_ck-mo-043_rougail-tomate-creole.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-044,Sirop jambosier,44_ck-mo-044_sirop-jambosier.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/44_ck-mo-044_sirop-jambosier.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-046,Jus goyave passion,46_ck-mo-046_jus-goyave-passion.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/46_ck-mo-046_jus-goyave-passion.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-047,Infusion bois bandé,47_ck-mo-047_infusion-bois-bande.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/47_ck-mo-047_infusion-bois-bande.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,
,CK-MO-050,Miel polyfloral créole,50_ck-mo-050_miel-polyfloral-creole.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/50_ck-mo-050_miel-polyfloral-creole.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Pot miel identifiable dans une scène premium ; réserve sur lisibilité étiquette.
