ordre,product_id,filename,profile,reference,sku_ref,source_type,lot_pilote,notes,website_url
1,7,,packshot,Maniocookies salés La Platine,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/maniocookies-sales-la-platine-7
2,8,,packshot,Crackers manioc Sainte-Anne,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/crackers-manioc-sainte-anne-8
3,9,,packshot,Pâtes de manioc Mayotte,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/pates-de-manioc-mayotte-9
4,153,,packshot,Confiture banane flambée,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/confiture-banane-flambee-153
5,154,,packshot,Colombo des Antilles (épices),,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/colombo-des-antilles-epices-154
6,155,,packshot,Shrub agrumes créole,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/shrub-agrumes-creole-155
7,156,,packshot,Biscuits coco vanille,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/biscuits-coco-vanille-156
8,157,,packshot,Sirop de canne vanille,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/sirop-de-canne-vanille-157
9,158,,packshot,Sauce piment cadji,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/sauce-piment-cadji-158
10,159,,packshot,Rougail épices Réunion,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/rougail-epices-reunion-159
11,160,,packshot,Chutney mangue verte,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/chutney-mangue-verte-160
12,161,,packshot,Café arabica Antilles,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/cafe-arabica-antilles-161
13,162,,packshot,Infusion vétiver citronnelle,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/infusion-vetiver-citronnelle-162
14,163,,packshot,Mix beignets manioc,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/mix-beignets-manioc-163
15,164,,packshot,Miel créole baie rose,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/miel-creole-baie-rose-164
16,177,,packshot,Coffret gourmand îles créoles,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/coffret-gourmand-iles-creoles-177
17,178,,packshot,Palets manioc croustillants La Platine,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/palets-manioc-croustillants-la-platine-178
18,179,,packshot,Mélange épices caraïbes,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/melange-epices-caraibes-179
19,180,,packshot,Tartinade coco citron vert,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/tartinade-coco-citron-vert-180
20,181,,packshot,Assortiment apéritif créole,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/assortiment-aperitif-creole-181
21,182,,packshot,Confiture ananas vanille,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/confiture-ananas-vanille-182
22,183,,packshot,Chips banane plantain salées,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/chips-banane-plantain-salees-183
23,184,,packshot,Semoule manioc fine Mayotte,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/semoule-manioc-fine-mayotte-184
24,185,,packshot,Confiture fruits de la passion,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/confiture-fruits-de-la-passion-185
25,186,,packshot,Trio sirops des Antilles,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/trio-sirops-des-antilles-186
26,187,,packshot,Marinade jerk authentique,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/marinade-jerk-authentique-187
27,188,,packshot,Coffret biscuits et douceurs,,export_bo,pilote_50_noyau_27,Image source à exporter depuis BO,/shop/coffret-biscuits-et-douceurs-188
